INFO:binance_feed:Starting main...
INFO:binance_feed:Checking for existing event loop...
INFO:binance_feed:No existing event loop. Creating new one.
INFO:binance_feed:Adding feed...
INFO:binance_feed:Feed added. Running FeedHandler...
INFO:binance_feed:Received ticker update for BTC-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.ticker: 240 bytes
INFO:binance_feed:Received ticker update for BTC-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.ticker: 240 bytes
INFO:binance_feed:Received ticker update for ETH-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.ticker: 238 bytes
INFO:binance_feed:Received ticker update for BTC-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.ticker: 240 bytes
INFO:binance_feed:Received trade update for BTC-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.trades: 246 bytes
INFO:binance_feed:Received L2 book update for BTC-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 324 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 324 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 323 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 326 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 324 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 327 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.factors: 341 bytes
INFO:binance_feed:Received L2 book update for ETH-USDT
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 324 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 324 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
INFO:emit:Publishing to projects/cryptofeed-480903/topics/crypto.binance.l2: 325 bytes
